start_time,rdt_id
2021-01-01,8
2021-01-02,8
2021-01-03,2
2021-01-04,9
2021-01-05,17
2021-01-06,20
2021-01-07,13
2021-01-08,7
2021-01-09,24
2021-01-10,11
2021-01-11,17
2021-01-12,20
2021-01-13,17
2021-01-14,9
2021-01-15,9
2021-01-16,11
2021-01-17,7
2021-01-18,12
2021-01-19,15
2021-01-20,11
2021-01-21,16
2021-01-22,13
2021-01-23,4
2021-01-24,14
2021-01-25,19
2021-01-26,16
2021-01-27,11
2021-01-28,20
2021-01-29,15
2021-01-30,5
2021-01-31,15
2021-02-01,14
2021-02-02,14
2021-02-03,10
2021-02-04,7
2021-02-05,9
2021-02-06,4
2021-02-07,2
2021-02-08,0
2021-02-09,23
2021-02-10,30
2021-02-11,26
2021-02-12,29
2021-02-13,25
2021-02-14,14
2021-02-15,22
2021-02-16,10
2021-02-17,15
2021-02-18,14
2021-02-19,18
2021-02-20,18
2021-02-21,13
2021-02-22,15
2021-02-23,11
2021-02-24,15
2021-02-25,11
2021-02-26,17
2021-02-27,11
2021-02-28,7
2021-03-01,11
2021-03-02,10
2021-03-03,10
2021-03-04,17
2021-03-05,8
2021-03-06,11
2021-03-07,9
2021-03-08,12
2021-03-09,11
2021-03-10,8
2021-03-11,27
2021-03-12,19
2021-03-13,17
2021-03-14,12
2021-03-15,14
2021-03-16,12
2021-03-17,12
2021-03-18,5
2021-03-19,21
2021-03-20,8
2021-03-21,8
2021-03-22,9
2021-03-23,10
2021-03-24,11
2021-03-25,16
2021-03-26,9
2021-03-27,0
2021-03-28,9
2021-03-29,20
2021-03-30,21
2021-03-31,19
2021-04-01,16
2021-04-02,8
2021-04-03,11
2021-04-04,2
2021-04-05,6
2021-04-06,13
2021-04-07,16
2021-04-08,10
2021-04-09,5
2021-04-10,6
2021-04-11,9
2021-04-12,5
2021-04-13,17
2021-04-14,16
2021-04-15,9
2021-04-16,9
2021-04-17,6
2021-04-18,3
2021-04-19,15
2021-04-20,17
2021-04-21,9
2021-04-22,10
2021-04-23,19
2021-04-24,13
2021-04-25,10
2021-04-26,27
2021-04-27,11
2021-04-28,16
2021-04-29,11
2021-04-30,8
2021-05-01,7
2021-05-02,11
2021-05-03,8
2021-05-04,23
2021-05-05,8
2021-05-06,12
2021-05-07,13
2021-05-08,6
2021-05-09,15
2021-05-10,9
2021-05-11,18
2021-05-12,16
2021-05-13,14
2021-05-14,11
2021-05-15,11
2021-05-16,13
2021-05-17,2
2021-05-18,12
2021-05-19,11
2021-05-20,7
2021-05-21,14
2021-05-22,12
2021-05-23,6
2021-05-24,8
2021-05-25,9
2021-05-26,9
2021-05-27,9
2021-05-28,24
2021-05-29,12
2021-05-30,11
2021-05-31,28
2021-06-01,15
2021-06-02,18
2021-06-03,20
2021-06-04,24
2021-06-05,9
2021-06-06,17
2021-06-07,14
2021-06-08,8
2021-06-09,12
2021-06-10,11
2021-06-11,18
2021-06-12,12
2021-06-13,6
2021-06-14,22
2021-06-15,7
2021-06-16,12
2021-06-17,17
2021-06-18,21
2021-06-19,8
2021-06-20,8
2021-06-21,19
2021-06-22,13
2021-06-23,17
2021-06-24,12
2021-06-25,13
2021-06-26,9
2021-06-27,14
2021-06-28,19
2021-06-29,17
2021-06-30,15
2021-07-01,19
2021-07-02,23
2021-07-03,8
2021-07-04,7
2021-07-05,11
2021-07-06,13
2021-07-07,13
2021-07-08,14
2021-07-09,12
2021-07-10,11
2021-07-11,5
2021-07-12,14
2021-07-13,24
2021-07-14,21
2021-07-15,22
2021-07-16,20
2021-07-17,10
2021-07-18,11
2021-07-19,15
2021-07-20,17
2021-07-21,17
2021-07-22,13
2021-07-23,15
2021-07-24,8
2021-07-25,8
2021-07-26,25
2021-07-27,18
2021-07-28,9
2021-07-29,17
2021-07-30,19
2021-07-31,6
2021-08-01,8
2021-08-02,10
2021-08-03,9
2021-08-04,5
2021-08-05,12
2021-08-06,12
2021-08-07,8
2021-08-08,11
2021-08-09,17
2021-08-10,15
2021-08-11,17
2021-08-12,11
2021-08-13,10
2021-08-14,9
2021-08-15,7
2021-08-16,13
2021-08-17,24
2021-08-18,13
2021-08-19,25
2021-08-20,8
2021-08-21,6
2021-08-22,7
2021-08-23,12
2021-08-24,15
2021-08-25,12
2021-08-26,11
2021-08-27,16
2021-08-28,10
2021-08-29,8
2021-08-30,14
2021-08-31,19
2021-09-01,10
2021-09-02,9
2021-09-03,10
2021-09-04,6
2021-09-05,6
2021-09-06,15
2021-09-07,13
2021-09-08,22
2021-09-09,13
2021-09-10,15
2021-09-11,8
2021-09-12,11
2021-09-13,17
2021-09-14,11
2021-09-15,25
2021-09-16,5
2021-09-17,9
2021-09-18,8
2021-09-19,11
2021-09-20,15
2021-09-21,6
2021-09-22,17
2021-09-23,11
2021-09-24,24
2021-09-25,11
2021-09-26,8
2021-09-27,16
2021-09-28,20
2021-09-29,14
2021-09-30,19
2021-10-01,5
2021-10-02,8
2021-10-03,4
2021-10-04,9
2021-10-05,18
2021-10-06,19
2021-10-07,14
2021-10-08,15
2021-10-09,10
2021-10-10,9
2021-10-11,13
2021-10-12,17
2021-10-13,12
2021-10-14,17
2021-10-15,23
2021-10-16,12
2021-10-17,19
2021-10-18,9
2021-10-19,17
2021-10-20,22
2021-10-21,21
2021-10-22,10
2021-10-23,15
2021-10-24,6
2021-10-25,18
2021-10-26,14
2021-10-27,9
2021-10-28,17
2021-10-29,21
2021-10-30,10
2021-10-31,10
2021-11-01,9
2021-11-02,16
2021-11-03,13
2021-11-04,21
2021-11-05,11
2021-11-06,8
2021-11-07,9
2021-11-08,14
2021-11-09,16
2021-11-10,15
2021-11-11,20
2021-11-12,9
2021-11-13,4
2021-11-14,14
2021-11-15,11
2021-11-16,13
2021-11-17,14
2021-11-18,10
2021-11-19,21
2021-11-20,17
2021-11-21,11
2021-11-22,14
2021-11-23,16
2021-11-24,12
2021-11-25,14
2021-11-26,26
2021-11-27,15
2021-11-28,12
2021-11-29,27
2021-11-30,18
2021-12-01,15
2021-12-02,19
2021-12-03,9
2021-12-04,7
2021-12-05,12
2021-12-06,13
2021-12-07,14
2021-12-08,21
2021-12-09,25
2021-12-10,11
2021-12-11,6
2021-12-12,15
2021-12-13,22
2021-12-14,9
2021-12-15,25
2021-12-16,20
2021-12-17,13
2021-12-18,3
2021-12-19,11
2021-12-20,19
2021-12-21,34
2021-12-22,37
2021-12-23,17
2021-12-24,14
2021-12-25,7
2021-12-26,8
2021-12-27,21
2021-12-28,22
2021-12-29,15
2021-12-30,16
2021-12-31,17
2022-01-01,14
2022-01-02,4
2022-01-03,13
2022-01-04,14
2022-01-05,6
2022-01-06,11
2022-01-07,14
2022-01-08,10
2022-01-09,8
2022-01-10,26
2022-01-11,36
2022-01-12,9
2022-01-13,16
2022-01-14,9
2022-01-15,6
2022-01-16,4
2022-01-17,25
2022-01-18,17
2022-01-19,7
2022-01-20,18
2022-01-21,10
2022-01-22,5
2022-01-23,7
2022-01-24,15
2022-01-25,11
2022-01-26,10
2022-01-27,17
2022-01-28,11
2022-01-29,22
2022-01-30,8
2022-01-31,37
2022-02-01,11
2022-02-02,17
2022-02-03,14
2022-02-04,18
2022-02-05,13
2022-02-06,21
2022-02-07,13
2022-02-08,23
2022-02-09,18
2022-02-10,15
2022-02-11,9
2022-02-12,13
2022-02-13,9
2022-02-14,10
2022-02-15,10
2022-02-16,19
2022-02-17,21
2022-02-18,4
2022-02-19,4
2022-02-20,22
2022-02-21,20
2022-02-22,9
2022-02-23,7
2022-02-24,6
2022-02-25,15
2022-02-26,9
2022-02-27,11
2022-02-28,20
2022-03-01,16
2022-03-02,14
2022-03-03,20
2022-03-04,17
2022-03-05,7
2022-03-06,15
2022-03-07,18
2022-03-08,12
2022-03-09,10
2022-03-10,12
2022-03-11,16
2022-03-12,9
2022-03-13,12
2022-03-14,10
2022-03-15,12
2022-03-16,8
2022-03-17,12
2022-03-18,9
2022-03-19,8
2022-03-20,12
2022-03-21,15
2022-03-22,19
2022-03-23,10
2022-03-24,9
2022-03-25,20
2022-03-26,4
2022-03-27,7
2022-03-28,8
2022-03-29,17
2022-03-30,13
2022-03-31,6
2022-04-01,21
2022-04-02,13
2022-04-03,1
2022-04-04,23
2022-04-05,19
2022-04-06,16
2022-04-07,21
2022-04-08,15
2022-04-09,9
2022-04-10,16
2022-04-11,24
2022-04-12,15
2022-04-13,23
2022-04-14,20
2022-04-15,21
2022-04-16,15
2022-04-17,17
2022-04-18,18
2022-04-19,22
2022-04-20,13
2022-04-21,21
2022-04-22,19
2022-04-23,14
2022-04-24,20
2022-04-25,18
2022-04-26,22
2022-04-27,10
2022-04-28,29
2022-04-29,16
2022-04-30,19
2022-05-01,17
2022-05-02,25
2022-05-03,12
2022-05-04,15
2022-05-05,20
2022-05-06,39
2022-05-07,19
2022-05-08,15
2022-05-09,22
2022-05-10,32
2022-05-11,20
2022-05-12,19
2022-05-13,24
2022-05-14,19
2022-05-15,15
2022-05-16,15
2022-05-17,15
2022-05-18,23
2022-05-19,47
2022-05-20,27
2022-05-21,22
2022-05-22,15
2022-05-23,18
2022-05-24,18
2022-05-25,16
2022-05-26,10
2022-05-27,14
2022-05-28,11
2022-05-29,8
2022-05-30,17
2022-05-31,22
2022-06-01,16
2022-06-02,12
2022-06-03,19
2022-06-04,17
2022-06-05,3
2022-06-06,14
2022-06-07,26
2022-06-08,22
2022-06-09,21
2022-06-10,11
2022-06-11,18
2022-06-12,8
2022-06-13,13
2022-06-14,28
2022-06-15,22
2022-06-16,35
2022-06-17,24
2022-06-18,17
2022-06-19,18
2022-06-20,30
2022-06-21,12
2022-06-22,38
2022-06-23,35
2022-06-24,26
2022-06-25,24
2022-06-26,19
2022-06-27,24
2022-06-28,23
2022-06-29,18
2022-06-30,11
2022-07-01,13
2022-07-02,12
2022-07-03,7
2022-07-04,15
2022-07-05,17
2022-07-06,14
2022-07-07,6
2022-07-08,15
2022-07-09,10
2022-07-10,11
2022-07-11,18
2022-07-12,22
2022-07-13,20
2022-07-14,14
2022-07-15,7
2022-07-16,14
2022-07-17,13
2022-07-18,26
2022-07-19,42
2022-07-20,17
2022-07-21,13
2022-07-22,13
2022-07-23,14
2022-07-24,4
2022-07-25,13
2022-07-26,15
2022-07-27,10
2022-07-28,10
2022-07-29,10
2022-07-30,5
2022-07-31,9
2022-08-01,7
2022-08-02,17
2022-08-03,14
2022-08-04,4
2022-08-05,11
2022-08-06,13
2022-08-07,12
2022-08-08,12
2022-08-09,10
2022-08-10,19
2022-08-11,11
2022-08-12,22
2022-08-13,10
2022-08-14,11
2022-08-15,12
2022-08-16,6
2022-08-17,13
2022-08-18,17
2022-08-19,11
2022-08-20,13
2022-08-21,13
2022-08-22,13
2022-08-23,21
2022-08-24,11
2022-08-25,23
2022-08-26,23
2022-08-27,10
2022-08-28,9
2022-08-29,22
2022-08-30,13
2022-08-31,28
2022-09-01,14
2022-09-02,13
2022-09-03,10
2022-09-04,10
2022-09-05,10
2022-09-06,9
2022-09-07,15
2022-09-08,17
2022-09-09,36
2022-09-10,9
2022-09-11,5
2022-09-12,18
2022-09-13,18
2022-09-14,9
2022-09-15,6
2022-09-16,11
2022-09-17,2
2022-09-18,7
2022-09-19,11
2022-09-20,20
2022-09-21,13
2022-09-22,22
2022-09-23,8
2022-09-24,12
2022-09-25,10
2022-09-26,11
2022-09-27,13
2022-09-28,11
2022-09-29,13
2022-09-30,12
2022-10-01,6
2022-10-02,8
2022-10-03,15
2022-10-04,17
2022-10-05,13
2022-10-06,8
2022-10-07,15
2022-10-08,17
2022-10-09,9
2022-10-10,23
2022-10-11,16
2022-10-12,7
2022-10-13,17
2022-10-14,12
2022-10-15,11
2022-10-16,12
2022-10-17,27
2022-10-18,13
2022-10-19,17
2022-10-20,13
2022-10-21,11
2022-10-22,5
2022-10-23,12
2022-10-24,24
2022-10-25,19
2022-10-26,15
2022-10-27,12
2022-10-28,18
2022-10-29,13
2022-10-30,9
2022-10-31,11
2022-11-01,15
2022-11-02,19
2022-11-03,16
2022-11-04,16
2022-11-05,8
2022-11-06,6
2022-11-07,17
2022-11-08,17
2022-11-09,13
2022-11-10,11
2022-11-11,10
2022-11-12,13
2022-11-13,17
2022-11-14,9
2022-11-15,17
2022-11-16,3
2022-11-17,18
2022-11-18,19
2022-11-19,9
2022-11-20,17
2022-11-21,21
2022-11-22,13
2022-11-23,18
2022-11-24,14
2022-11-25,7
2022-11-26,5
2022-11-27,7
2022-11-28,13
2022-11-29,17
2022-11-30,15
2022-12-01,10
2022-12-02,15
2022-12-03,12
2022-12-04,8
2022-12-05,7
2022-12-06,17
2022-12-07,12
2022-12-08,16
2022-12-09,25
2022-12-10,14
2022-12-11,11
2022-12-12,22
2022-12-13,46
2022-12-14,32
2022-12-15,38
2022-12-16,22
2022-12-17,7
2022-12-18,16
2022-12-19,16
2022-12-20,18
2022-12-21,15
2022-12-22,19
2022-12-23,15
2022-12-24,12
2022-12-25,9
2022-12-26,7
2022-12-27,10
2022-12-28,22
2022-12-29,15
2022-12-30,11
2022-12-31,14
2023-01-01,4
2023-01-02,14
2023-01-03,7
2023-01-04,14
2023-01-05,10
2023-01-06,12
2023-01-07,6
2023-01-08,1
2023-01-09,8
2023-01-10,17
2023-01-11,9
2023-01-12,28
2023-01-13,26
2023-01-14,4
2023-01-15,2
2023-01-16,18
2023-01-17,29
2023-01-18,8
2023-01-19,19
2023-01-20,32
2023-01-21,15
2023-01-22,10
2023-01-23,13
2023-01-24,10
2023-01-25,3
2023-01-26,14
2023-01-27,7
2023-01-28,7
2023-01-29,10
2023-01-30,24
2023-01-31,20
2023-02-01,12
2023-02-02,16
2023-02-03,13
2023-02-04,13
2023-02-05,11
2023-02-06,19
2023-02-07,23
2023-02-08,14
2023-02-09,11
2023-02-10,8
2023-02-11,9
2023-02-12,7
2023-02-13,23
2023-02-14,11
2023-02-15,13
2023-02-16,9
2023-02-17,15
2023-02-18,7
2023-02-19,8
2023-02-20,14
2023-02-21,17
2023-02-22,29
2023-02-23,11
2023-02-24,21
2023-02-25,11
2023-02-26,6
2023-02-27,15
2023-02-28,25
2023-03-01,21
2023-03-02,25
2023-03-03,15
2023-03-04,8
2023-03-05,9
2023-03-06,22
2023-03-07,9
2023-03-08,19
2023-03-09,14
2023-03-10,25
2023-03-11,8
2023-03-12,9
2023-03-13,29
2023-03-14,33
2023-03-15,21
2023-03-16,15
2023-03-17,14
2023-03-18,12
2023-03-19,1
2023-03-20,16
2023-03-21,10
2023-03-22,11
2023-03-23,11
2023-03-24,4
2023-03-25,12
2023-03-26,4
2023-03-27,17
2023-03-28,11
2023-03-29,3
2023-03-30,12
2023-03-31,7
2023-04-01,4
2023-04-02,8
2023-04-03,18
2023-04-04,12
2023-04-05,11
2023-04-06,13
2023-04-07,6
2023-04-08,11
2023-04-09,7
2023-04-10,4
2023-04-11,10
2023-04-12,9
2023-04-13,13
2023-04-14,15
2023-04-15,4
2023-04-16,7
2023-04-17,18
2023-04-18,15
2023-04-19,12
2023-04-20,14
2023-04-21,21
2023-04-22,10
2023-04-23,14
2023-04-24,20
2023-04-25,14
2023-04-26,11
2023-04-27,14
2023-04-28,12
2023-04-29,7
2023-04-30,10
2023-05-01,19
2023-05-02,19
2023-05-03,11
2023-05-04,17
2023-05-05,17
2023-05-06,16
2023-05-07,19
2023-05-08,22
2023-05-09,11
2023-05-10,11
2023-05-11,16
2023-05-12,13
2023-05-13,9
2023-05-14,6
2023-05-15,12
2023-05-16,4
2023-05-17,10
2023-05-18,6
2023-05-19,14
2023-05-20,10
2023-05-21,10
2023-05-22,18
2023-05-23,14
2023-05-24,16
2023-05-25,15
2023-05-26,17
2023-05-27,6
2023-05-28,6
2023-05-29,8
2023-05-30,17
2023-05-31,11
2023-06-01,19
2023-06-02,20
2023-06-03,12
2023-06-04,14
2023-06-05,15
2023-06-06,17
2023-06-07,7
2023-06-08,13
2023-06-09,16
2023-06-10,18
2023-06-11,7
2023-06-12,20
2023-06-13,20
2023-06-14,13
2023-06-15,23
2023-06-16,13
2023-06-17,22
2023-06-18,7
2023-06-19,16
2023-06-20,26
2023-06-21,13
2023-06-22,19
2023-06-23,11
2023-06-24,7
2023-06-25,10
2023-06-26,12
2023-06-27,14
2023-06-28,13
2023-06-29,29
2023-06-30,12
2023-07-01,7
2023-07-02,6
2023-07-03,22
2023-07-04,20
2023-07-05,54
2023-07-06,22
2023-07-07,26
2023-07-08,22
2023-07-09,18
2023-07-10,11
2023-07-11,19
2023-07-12,14
2023-07-13,6
2023-07-14,18
2023-07-15,13
2023-07-16,11
2023-07-17,17
2023-07-18,13
2023-07-19,14
2023-07-20,10
2023-07-21,18
2023-07-22,8
2023-07-23,9
2023-07-24,10
2023-07-25,4
2023-07-26,16
2023-07-27,14
2023-07-28,11
2023-07-29,6
2023-07-30,10
2023-07-31,14
2023-08-01,10
2023-08-02,12
2023-08-03,12
2023-08-04,14
2023-08-05,6
2023-08-06,10
2023-08-07,21
2023-08-08,8
2023-08-09,11
2023-08-10,8
2023-08-11,14
2023-08-12,9
2023-08-13,7
2023-08-14,15
2023-08-15,12
2023-08-16,14
2023-08-17,9
2023-08-18,17
2023-08-19,8
2023-08-20,15
2023-08-21,26
2023-08-22,15
2023-08-23,28
2023-08-24,22
2023-08-25,21
2023-08-26,15
2023-08-27,19
2023-08-28,22
2023-08-29,19
2023-08-30,16
2023-08-31,13
2023-09-01,20
2023-09-02,11
2023-09-03,13
2023-09-04,22
2023-09-05,24
2023-09-06,17
2023-09-07,8
2023-09-08,26
2023-09-09,12
2023-09-10,11
2023-09-11,12
2023-09-12,18
2023-09-13,16
2023-09-14,21
2023-09-15,15
2023-09-16,13
2023-09-17,10
2023-09-18,12
2023-09-19,10
2023-09-20,18
2023-09-21,23
2023-09-22,17
2023-09-23,12
2023-09-24,9
2023-09-25,31
2023-09-26,12
2023-09-27,10
2023-09-28,20
2023-09-29,12
2023-09-30,8
2023-10-01,8
2023-10-02,5
2023-10-03,35
2023-10-04,23
2023-10-05,21
2023-10-06,15
2023-10-07,12
2023-10-08,7
2023-10-09,16
2023-10-10,15
2023-10-11,16
2023-10-12,17
2023-10-13,26
2023-10-14,9
2023-10-15,15
2023-10-16,9
2023-10-17,19
2023-10-18,14
2023-10-19,18
2023-10-20,11
2023-10-21,9
2023-10-22,15
2023-10-23,17
2023-10-24,18
2023-10-25,15
2023-10-26,18
2023-10-27,15
2023-10-28,9
2023-10-29,12
2023-10-30,31
2023-10-31,12
2023-11-01,24
2023-11-02,59
2023-11-03,18
2023-11-04,8
2023-11-05,10
2023-11-06,19
2023-11-07,15
2023-11-08,19
2023-11-09,20
2023-11-10,20
2023-11-11,11
2023-11-12,11
2023-11-13,20
2023-11-14,29
2023-11-15,14
2023-11-16,16
2023-11-17,17
2023-11-18,4
2023-11-19,9
2023-11-20,12
2023-11-21,15
2023-11-22,25
2023-11-23,16
2023-11-24,26
2023-11-25,7
2023-11-26,9
2023-11-27,20
2023-11-28,29
2023-11-29,19
2023-11-30,21
2023-12-01,25
2023-12-02,12
2023-12-03,13
2023-12-04,27
2023-12-05,23
2023-12-06,15
2023-12-07,27
2023-12-08,10
2023-12-09,20
2023-12-10,19
2023-12-11,23
2023-12-12,6
2023-12-13,5
2023-12-14,15
2023-12-15,16
2023-12-16,9
2023-12-17,9
2023-12-18,20
2023-12-19,18
2023-12-20,19
2023-12-21,10
